
================================================================================
Training session started at: 2025-06-11T14:16:08.008139
Configuration: epochs=30, batch_size=64, lr=0.0001
Preprocessed data: /data2/xxw_data/projects/LLM/coconut/data/gsm_train_embeddings_optimized_debug.pkl
================================================================================
Step	Epoch	Loss		Learning_Rate	Timestamp
--------------------------------------------------------------------------------

================================================================================
Training session started at: 2025-06-11T14:16:08.211804
Configuration: epochs=30, batch_size=64, lr=0.0001
Preprocessed data: /data2/xxw_data/projects/LLM/coconut/data/gsm_train_embeddings_optimized_debug.pkl
================================================================================
Step	Epoch	Loss		Learning_Rate	Timestamp
--------------------------------------------------------------------------------
91	12	143.9393		0.000100		15:06:34
91	12	129.4647		0.000100		15:06:34
92	12	126.3061		0.000100		15:07:00
92	12	135.8974		0.000100		15:07:00
93	12	127.1918		0.000100		15:07:27
93	12	142.4407		0.000100		15:07:27
94	12	124.0830		0.000100		15:07:56
94	12	129.8548		0.000100		15:07:57
95	12	140.5814		0.000100		15:08:26
95	12	115.8204		0.000100		15:08:26
96	12	129.2490		0.000100		15:08:46
96	12	120.6679		0.000100		15:08:46
97	13	133.9963		0.000100		15:10:08
97	13	124.9407		0.000100		15:10:08
98	13	120.3730		0.000100		15:10:39
98	13	124.1667		0.000100		15:10:39
99	13	124.2970		0.000100		15:11:02
99	13	139.3746		0.000100		15:11:02
100	13	118.8844		0.000100		15:11:32
100	13	118.7383		0.000100		15:11:32
101	13	135.7532		0.000100		15:11:55
101	13	120.5231		0.000100		15:11:55
102	13	122.7219		0.000100		15:12:18
102	13	122.4482		0.000100		15:12:18
103	13	139.8080		0.000100		15:12:38
103	13	111.0313		0.000100		15:12:38
104	13	115.5055		0.000100		15:13:01
104	13	154.7788		0.000100		15:13:01
105	14	115.7079		0.000100		15:14:26
105	14	120.6165		0.000100		15:14:26
106	14	114.7771		0.000100		15:14:49
106	14	151.4301		0.000100		15:14:49
107	14	113.8900		0.000100		15:15:09
107	14	108.7309		0.000100		15:15:09
108	14	117.3715		0.000100		15:15:37
108	14	112.8162		0.000100		15:15:37
109	14	129.3631		0.000100		15:16:00
109	14	114.7817		0.000100		15:16:00
110	14	116.4371		0.000100		15:16:30
110	14	97.0821		0.000100		15:16:30
111	14	122.1324		0.000100		15:16:53
111	14	125.0530		0.000100		15:16:53
112	14	110.1494		0.000100		15:17:20
112	14	148.9078		0.000100		15:17:20
113	15	127.9480		0.000100		15:18:42
113	15	112.6386		0.000100		15:18:42
114	15	113.2145		0.000100		15:19:09
114	15	108.7805		0.000100		15:19:09
115	15	127.7950		0.000100		15:19:35
115	15	102.5714		0.000100		15:19:35
116	15	101.6978		0.000100		15:20:02
116	15	101.8451		0.000100		15:20:02
117	15	96.9159		0.000100		15:20:25
117	15	106.1178		0.000100		15:20:25
118	15	95.8171		0.000100		15:20:52
118	15	102.8058		0.000100		15:20:52
119	15	115.5787		0.000100		15:21:22
119	15	96.0719		0.000100		15:21:22
120	15	111.6516		0.000100		15:21:45
120	15	151.1403		0.000100		15:21:45
121	16	108.3609		0.000100		15:23:08
121	16	150.7101		0.000100		15:23:08
122	16	101.2597		0.000100		15:23:28
122	16	96.1300		0.000100		15:23:28
